,age,stamina,handling,attack,defense,technique,strength,jumping,speed,agility,kicking,form,aggression,discipline,leadership,experience,weight,height,energy,csr
22,20.0,10.0,10.0,9.0,14.0,14.0,14.0,5.0,11.0,11.0,8.0,5.0,4.0,4.0,8.0,2.0,120.0,182.0,11.0,81147.0
23,34.0,16.0,15.0,16.0,16.0,13.0,13.0,7.0,15.0,13.0,3.0,8.0,3.0,1.0,4.0,7.0,99.0,180.0,11.0,188798.0
24,38.0,13.0,12.0,10.0,11.0,10.0,11.0,12.0,1.0,1.0,1.0,8.0,2.0,4.0,7.0,9.0,121.0,204.0,11.0,56915.0
25,34.0,11.0,11.0,3.0,10.0,12.0,13.0,2.0,2.0,1.0,1.0,6.0,2.0,3.0,9.0,8.0,115.0,178.0,11.0,41421.0
26,20.0,13.0,13.0,14.0,14.0,14.0,14.0,8.0,6.0,11.0,9.0,6.0,4.0,4.0,6.0,2.0,109.0,187.0,11.0,110815.0
27,18.0,12.0,10.0,13.0,13.0,13.0,9.0,5.0,10.0,10.0,1.0,9.0,4.0,3.0,5.0,2.0,123.0,175.0,10.0,75380.0
28,18.0,11.0,5.0,10.0,14.0,14.0,12.0,2.0,10.0,11.0,2.0,5.0,3.0,3.0,7.0,2.0,113.0,191.0,9.0,67621.0
29,20.0,14.0,9.0,14.0,14.0,14.0,13.0,3.0,7.0,10.0,2.0,7.0,3.0,3.0,9.0,3.0,123.0,180.0,10.0,86753.0
30,19.0,13.0,14.0,13.0,13.0,9.0,9.0,5.0,14.0,12.0,9.0,8.0,1.0,3.0,11.0,2.0,91.0,182.0,10.0,97882.0
31,30.0,17.0,11.0,17.0,17.0,17.0,17.0,15.0,15.0,10.0,5.0,8.0,4.0,3.0,11.0,5.0,96.0,192.0,11.0,261442.0
32,27.0,19.0,18.0,19.0,18.0,8.0,11.0,8.0,19.0,17.0,19.0,7.0,4.0,3.0,6.0,7.0,77.0,189.0,10.0,400427.0
33,28.0,19.0,18.0,19.0,19.0,15.0,16.0,9.0,19.0,18.0,4.0,7.0,3.0,3.0,6.0,7.0,101.0,188.0,9.0,397702.0
34,25.0,19.0,16.0,17.0,19.0,20.0,18.0,10.0,16.0,8.0,2.0,9.0,4.0,3.0,7.0,6.0,101.0,192.0,10.0,347673.0
35,20.0,13.0,13.0,9.0,14.0,13.0,10.0,5.0,14.0,10.0,7.0,5.0,4.0,2.0,4.0,3.0,114.0,194.0,11.0,87623.0
36,33.0,16.0,13.0,15.0,16.0,14.0,14.0,7.0,15.0,15.0,9.0,9.0,3.0,4.0,6.0,6.0,85.0,186.0,11.0,199622.0
37,19.0,7.0,5.0,6.0,6.0,4.0,2.0,5.0,9.0,4.0,6.0,7.0,4.0,1.0,8.0,2.0,91.0,183.0,11.0,11588.0
38,17.0,7.0,7.0,7.0,7.0,4.0,4.0,5.0,9.0,5.0,7.0,6.0,2.0,4.0,8.0,2.0,94.0,183.0,10.0,14889.0
39,18.0,14.0,10.0,11.0,10.0,14.0,14.0,11.0,6.0,9.0,3.0,8.0,4.0,1.0,6.0,2.0,122.0,199.0,11.0,79045.0
40,24.0,13.0,15.0,16.0,15.0,8.0,6.0,7.0,14.0,12.0,9.0,6.0,3.0,3.0,6.0,3.0,85.0,184.0,11.0,127532.0
41,34.0,19.0,17.0,17.0,17.0,16.0,17.0,15.0,12.0,7.0,2.0,8.0,3.0,2.0,4.0,9.0,122.0,204.0,11.0,284979.0
42,21.0,12.0,11.0,14.0,14.0,12.0,10.0,6.0,12.0,4.0,1.0,9.0,2.0,4.0,7.0,3.0,122.0,175.0,10.0,89383.0
43,31.0,18.0,13.0,17.0,17.0,16.0,16.0,9.0,15.0,11.0,4.0,7.0,3.0,4.0,4.0,6.0,89.0,182.0,10.0,235741.0
44,31.0,17.0,17.0,17.0,17.0,10.0,14.0,8.0,17.0,14.0,9.0,6.0,4.0,3.0,5.0,5.0,93.0,180.0,9.0,236840.0
45,31.0,15.0,17.0,14.0,15.0,15.0,17.0,17.0,12.0,12.0,9.0,7.0,4.0,3.0,8.0,7.0,104.0,194.0,9.0,235762.0
46,35.0,17.0,16.0,7.0,14.0,15.0,14.0,16.0,11.0,9.0,16.0,7.0,2.0,3.0,9.0,8.0,118.0,199.0,10.0,197314.0
47,17.0,9.0,10.0,9.0,7.0,9.0,11.0,9.0,6.0,4.0,3.0,5.0,4.0,3.0,6.0,1.0,117.0,194.0,10.0,29373.0
48,18.0,11.0,14.0,10.0,10.0,5.0,5.0,4.0,14.0,13.0,6.0,5.0,1.0,2.0,6.0,2.0,82.0,185.0,10.0,66308.0
49,17.0,9.0,9.0,7.0,11.0,9.0,10.0,7.0,5.0,3.0,2.0,7.0,3.0,2.0,6.0,2.0,111.0,200.0,10.0,27334.0
50,19.0,13.0,11.0,10.0,11.0,12.0,10.0,7.0,11.0,10.0,1.0,6.0,4.0,4.0,8.0,1.0,101.0,188.0,11.0,65022.0
51,20.0,10.0,14.0,14.0,14.0,9.0,6.0,13.0,14.0,6.0,4.0,9.0,3.0,2.0,7.0,2.0,95.0,181.0,11.0,89046.0
52,33.0,15.0,13.0,14.0,14.0,12.0,7.0,3.0,14.0,15.0,8.0,7.0,2.0,2.0,8.0,8.0,95.0,177.0,11.0,134152.0
53,35.0,14.0,14.0,14.0,14.0,9.0,6.0,1.0,14.0,14.0,14.0,10.0,3.0,1.0,5.0,9.0,76.0,180.0,11.0,139893.0
54,36.0,17.0,15.0,16.0,16.0,14.0,13.0,1.0,16.0,16.0,5.0,9.0,2.0,2.0,6.0,9.0,98.0,191.0,11.0,230282.0
55,27.0,19.0,17.0,19.0,18.0,15.0,15.0,4.0,18.0,17.0,3.0,4.0,4.0,3.0,9.0,6.0,91.0,181.0,10.0,342079.0
56,31.0,16.0,16.0,14.0,13.0,16.0,17.0,4.0,11.0,14.0,9.0,9.0,4.0,3.0,5.0,6.0,85.0,181.0,11.0,195837.0
57,33.0,15.0,15.0,17.0,14.0,13.0,11.0,5.0,15.0,16.0,12.0,7.0,4.0,3.0,9.0,7.0,87.0,179.0,11.0,189969.0
58,23.0,14.0,15.0,15.0,14.0,15.0,14.0,5.0,11.0,9.0,7.0,10.0,2.0,3.0,6.0,3.0,84.0,189.0,11.0,146536.0
59,19.0,14.0,7.0,10.0,14.0,14.0,14.0,10.0,8.0,3.0,3.0,5.0,3.0,3.0,8.0,3.0,102.0,197.0,10.0,79977.0
60,17.0,11.0,10.0,11.0,5.0,6.0,10.0,7.0,8.0,9.0,1.0,7.0,4.0,3.0,4.0,1.0,115.0,202.0,10.0,35596.0
61,17.0,10.0,9.0,7.0,9.0,10.0,13.0,13.0,4.0,6.0,2.0,5.0,4.0,2.0,7.0,1.0,110.0,200.0,10.0,49719.0
62,18.0,9.0,12.0,7.0,5.0,12.0,9.0,2.0,7.0,3.0,2.0,11.0,2.0,1.0,7.0,2.0,107.0,180.0,10.0,32038.0
63,19.0,14.0,14.0,13.0,14.0,13.0,13.0,4.0,12.0,10.0,3.0,7.0,4.0,2.0,10.0,2.0,108.0,185.0,11.0,109060.0
64,20.0,14.0,14.0,11.0,11.0,12.0,11.0,8.0,14.0,11.0,2.0,5.0,2.0,3.0,5.0,2.0,98.0,188.0,11.0,91516.0
65,20.0,14.0,9.0,12.0,14.0,12.0,12.0,3.0,13.0,13.0,5.0,6.0,4.0,4.0,3.0,3.0,95.0,189.0,10.0,91953.0
66,20.0,14.0,14.0,9.0,14.0,14.0,12.0,5.0,9.0,10.0,4.0,9.0,1.0,3.0,5.0,3.0,100.0,186.0,11.0,91290.0
67,20.0,14.0,14.0,13.0,13.0,12.0,8.0,4.0,13.0,12.0,7.0,9.0,4.0,2.0,8.0,2.0,90.0,184.0,11.0,100724.0
68,29.0,14.0,14.0,16.0,12.0,14.0,16.0,9.0,16.0,12.0,8.0,7.0,5.0,2.0,5.0,3.0,96.0,179.0,11.0,177361.0
69,20.0,12.0,13.0,10.0,14.0,14.0,14.0,5.0,10.0,10.0,2.0,7.0,4.0,2.0,7.0,2.0,112.0,182.0,11.0,87433.0
70,19.0,9.0,7.0,14.0,14.0,13.0,14.0,4.0,14.0,7.0,4.0,8.0,1.0,2.0,4.0,2.0,111.0,183.0,9.0,89604.0
71,19.0,13.0,13.0,14.0,10.0,13.0,7.0,4.0,3.0,3.0,3.0,11.0,3.0,4.0,4.0,1.0,113.0,179.0,11.0,73541.0
72,20.0,14.0,13.0,14.0,14.0,14.0,14.0,7.0,14.0,4.0,2.0,8.0,3.0,4.0,7.0,2.0,107.0,195.0,11.0,113408.0
73,19.0,8.0,14.0,10.0,12.0,10.0,10.0,3.0,4.0,11.0,1.0,8.0,4.0,5.0,4.0,1.0,98.0,177.0,11.0,49676.0
74,19.0,13.0,12.0,14.0,12.0,12.0,11.0,7.0,13.0,10.0,3.0,9.0,3.0,2.0,8.0,2.0,103.0,185.0,9.0,84862.0
75,24.0,17.0,17.0,18.0,18.0,14.0,11.0,5.0,18.0,16.0,5.0,7.0,2.0,4.0,4.0,5.0,92.0,179.0,10.0,272442.0
76,33.0,14.0,17.0,15.0,17.0,12.0,14.0,10.0,16.0,17.0,9.0,6.0,2.0,3.0,10.0,8.0,83.0,180.0,10.0,228490.0
77,29.0,18.0,15.0,13.0,14.0,18.0,8.0,9.0,14.0,13.0,13.0,7.0,3.0,2.0,8.0,5.0,87.0,190.0,11.0,199025.0
78,28.0,18.0,13.0,15.0,14.0,18.0,9.0,10.0,15.0,13.0,11.0,5.0,2.0,1.0,7.0,5.0,89.0,183.0,11.0,189167.0
79,28.0,18.0,15.0,12.0,14.0,18.0,13.0,11.0,9.0,8.0,6.0,7.0,3.0,4.0,8.0,5.0,116.0,180.0,11.0,175594.0
80,29.0,18.0,11.0,15.0,15.0,18.0,14.0,12.0,9.0,9.0,8.0,7.0,4.0,2.0,2.0,6.0,108.0,192.0,11.0,186573.0
81,21.0,9.0,13.0,12.0,10.0,13.0,15.0,11.0,9.0,10.0,5.0,8.0,4.0,3.0,5.0,2.0,121.0,197.0,11.0,86000.0
82,28.0,18.0,15.0,15.0,15.0,13.0,10.0,10.0,13.0,13.0,6.0,8.0,3.0,3.0,5.0,5.0,117.0,200.0,11.0,169001.0
83,27.0,18.0,14.0,11.0,14.0,17.0,9.0,7.0,13.0,12.0,14.0,8.0,2.0,2.0,6.0,3.0,87.0,185.0,11.0,183046.0
84,27.0,18.0,12.0,12.0,13.0,17.0,16.0,14.0,9.0,9.0,3.0,6.0,1.0,2.0,8.0,5.0,117.0,197.0,11.0,174592.0
85,20.0,14.0,14.0,14.0,14.0,14.0,8.0,5.0,9.0,9.0,2.0,7.0,3.0,3.0,9.0,2.0,109.0,182.0,11.0,92270.0
86,21.0,14.0,9.0,10.0,14.0,14.0,14.0,4.0,10.0,7.0,2.0,5.0,1.0,2.0,8.0,3.0,121.0,187.0,11.0,88884.0
87,17.0,10.0,9.0,8.0,7.0,8.0,10.0,6.0,7.0,5.0,2.0,6.0,4.0,3.0,7.0,1.0,111.0,199.0,10.0,22863.0
88,33.0,17.0,15.0,15.0,17.0,16.0,17.0,11.0,13.0,12.0,3.0,6.0,3.0,3.0,5.0,5.0,124.0,195.0,11.0,232598.0
89,18.0,13.0,12.0,11.0,8.0,9.0,11.0,9.0,7.0,3.0,7.0,8.0,2.0,4.0,5.0,2.0,116.0,196.0,9.0,52705.0
90,17.0,11.0,8.0,9.0,11.0,13.0,13.0,4.0,6.0,3.0,2.0,8.0,3.0,3.0,3.0,1.0,102.0,182.0,11.0,50817.0
91,28.0,18.0,14.0,15.0,15.0,15.0,14.0,9.0,14.0,11.0,4.0,6.0,2.0,3.0,6.0,3.0,100.0,192.0,11.0,187814.0
92,24.0,14.0,14.0,13.0,11.0,15.0,12.0,14.0,7.0,9.0,7.0,8.0,2.0,2.0,5.0,3.0,104.0,199.0,11.0,122010.0
93,20.0,14.0,14.0,14.0,13.0,9.0,8.0,10.0,14.0,6.0,6.0,8.0,1.0,3.0,6.0,3.0,93.0,186.0,11.0,96573.0
94,22.0,6.0,14.0,15.0,6.0,8.0,14.0,8.0,5.0,14.0,3.0,7.0,4.0,3.0,6.0,3.0,117.0,201.0,11.0,79272.0
95,24.0,16.0,13.0,14.0,17.0,17.0,14.0,17.0,12.0,5.0,9.0,9.0,3.0,3.0,4.0,5.0,116.0,198.0,10.0,223487.0
96,25.0,14.0,14.0,16.0,14.0,15.0,15.0,8.0,15.0,15.0,4.0,7.0,3.0,4.0,8.0,3.0,100.0,186.0,11.0,182925.0
97,35.0,15.0,15.0,14.0,14.0,13.0,13.0,6.0,14.0,12.0,16.0,5.0,4.0,1.0,3.0,8.0,85.0,185.0,11.0,169398.0
98,19.0,14.0,14.0,13.0,11.0,11.0,14.0,7.0,12.0,10.0,3.0,6.0,5.0,3.0,6.0,2.0,101.0,184.0,10.0,94614.0
99,19.0,9.0,13.0,13.0,11.0,10.0,7.0,3.0,5.0,11.0,13.0,7.0,3.0,3.0,7.0,2.0,123.0,185.0,11.0,67930.0
100,20.0,14.0,14.0,14.0,14.0,14.0,13.0,11.0,13.0,8.0,4.0,8.0,4.0,4.0,5.0,3.0,106.0,192.0,11.0,123266.0
101,18.0,14.0,9.0,12.0,14.0,13.0,8.0,4.0,8.0,6.0,6.0,7.0,5.0,3.0,6.0,1.0,78.0,180.0,11.0,66969.0
102,19.0,9.0,13.0,10.0,13.0,10.0,14.0,14.0,3.0,5.0,3.0,9.0,1.0,2.0,7.0,2.0,125.0,198.0,9.0,77203.0
103,29.0,19.0,18.0,18.0,18.0,17.0,17.0,5.0,10.0,8.0,3.0,5.0,4.0,2.0,11.0,8.0,112.0,180.0,10.0,283113.0
104,29.0,17.0,17.0,17.0,16.0,17.0,17.0,6.0,15.0,14.0,3.0,8.0,2.0,3.0,7.0,7.0,119.0,179.0,10.0,268682.0
105,33.0,13.0,12.0,15.0,15.0,13.0,11.0,7.0,12.0,5.0,1.0,9.0,2.0,3.0,6.0,6.0,113.0,187.0,11.0,109086.0
106,33.0,19.0,18.0,18.0,18.0,7.0,7.0,7.0,15.0,16.0,15.0,6.0,4.0,2.0,6.0,7.0,92.0,176.0,11.0,283813.0
107,29.0,15.0,18.0,18.0,18.0,10.0,12.0,7.0,18.0,13.0,5.0,3.0,4.0,3.0,7.0,6.0,119.0,191.0,11.0,232622.0
108,19.0,13.0,7.0,9.0,10.0,13.0,11.0,2.0,13.0,8.0,2.0,6.0,2.0,5.0,7.0,2.0,129.0,185.0,9.0,60838.0
109,19.0,14.0,12.0,8.0,13.0,14.0,14.0,4.0,5.0,3.0,2.0,7.0,3.0,1.0,6.0,2.0,134.0,188.0,9.0,76500.0
110,17.0,11.0,8.0,11.0,12.0,11.0,11.0,6.0,6.0,5.0,3.0,7.0,3.0,5.0,8.0,2.0,114.0,185.0,10.0,44043.0
111,18.0,9.0,14.0,14.0,13.0,14.0,10.0,9.0,9.0,7.0,2.0,6.0,5.0,3.0,7.0,2.0,116.0,198.0,10.0,82209.0
112,19.0,12.0,14.0,13.0,12.0,7.0,5.0,3.0,12.0,12.0,5.0,9.0,4.0,4.0,6.0,2.0,94.0,186.0,10.0,77452.0
113,19.0,14.0,8.0,13.0,13.0,9.0,9.0,3.0,13.0,5.0,2.0,6.0,5.0,2.0,4.0,3.0,127.0,192.0,10.0,69109.0
114,20.0,14.0,14.0,14.0,14.0,12.0,13.0,8.0,12.0,7.0,7.0,7.0,3.0,1.0,3.0,3.0,108.0,200.0,11.0,111293.0
115,22.0,14.0,13.0,12.0,14.0,15.0,12.0,12.0,10.0,14.0,4.0,9.0,3.0,3.0,5.0,3.0,110.0,183.0,11.0,131517.0
116,25.0,18.0,16.0,16.0,17.0,18.0,17.0,11.0,15.0,10.0,3.0,7.0,3.0,3.0,6.0,6.0,106.0,203.0,10.0,273963.0
117,19.0,4.0,8.0,12.0,8.0,7.0,7.0,1.0,1.0,4.0,1.0,10.0,4.0,2.0,6.0,2.0,93.0,195.0,10.0,18959.0
118,21.0,13.0,9.0,15.0,14.0,10.0,7.0,4.0,13.0,9.0,14.0,6.0,3.0,1.0,7.0,2.0,128.0,182.0,10.0,94867.0
119,27.0,19.0,19.0,18.0,19.0,9.0,8.0,9.0,19.0,20.0,9.0,7.0,3.0,4.0,5.0,5.0,84.0,178.0,11.0,375803.0
120,20.0,10.0,9.0,13.0,13.0,11.0,14.0,12.0,12.0,9.0,7.0,8.0,1.0,4.0,6.0,3.0,100.0,198.0,11.0,87342.0
121,20.0,10.0,10.0,13.0,13.0,14.0,12.0,13.0,10.0,11.0,8.0,6.0,3.0,2.0,6.0,2.0,102.0,189.0,11.0,91930.0
122,24.0,11.0,12.0,12.0,13.0,7.0,5.0,5.0,11.0,7.0,5.0,8.0,3.0,4.0,3.0,4.0,88.0,185.0,11.0,53532.0
123,17.0,8.0,10.0,11.0,7.0,9.0,10.0,9.0,7.0,6.0,3.0,6.0,4.0,3.0,5.0,1.0,118.0,200.0,9.0,30931.0
124,20.0,14.0,12.0,12.0,12.0,5.0,5.0,2.0,14.0,14.0,12.0,5.0,3.0,3.0,4.0,2.0,94.0,182.0,11.0,91057.0
125,34.0,18.0,16.0,11.0,18.0,17.0,16.0,16.0,11.0,5.0,2.0,8.0,2.0,3.0,6.0,8.0,123.0,206.0,11.0,242512.0
126,33.0,18.0,15.0,17.0,17.0,18.0,16.0,7.0,13.0,14.0,11.0,6.0,4.0,3.0,2.0,7.0,123.0,188.0,10.0,270219.0
127,17.0,12.0,13.0,8.0,7.0,10.0,12.0,9.0,8.0,4.0,2.0,8.0,2.0,4.0,4.0,2.0,108.0,200.0,10.0,51296.0
128,37.0,14.0,12.0,13.0,12.0,3.0,3.0,1.0,14.0,14.0,1.0,6.0,2.0,3.0,7.0,9.0,88.0,188.0,10.0,86492.0
129,23.0,15.0,15.0,10.0,15.0,11.0,16.0,11.0,14.0,13.0,1.0,8.0,3.0,1.0,7.0,3.0,111.0,203.0,11.0,153608.0
130,22.0,13.0,13.0,13.0,13.0,9.0,6.0,5.0,6.0,5.0,2.0,8.0,1.0,3.0,4.0,2.0,113.0,176.0,11.0,61828.0
131,23.0,14.0,14.0,14.0,14.0,9.0,9.0,10.0,5.0,2.0,2.0,7.0,3.0,2.0,9.0,1.0,100.0,202.0,11.0,86506.0
132,17.0,5.0,9.0,8.0,8.0,12.0,7.0,4.0,7.0,8.0,2.0,8.0,1.0,5.0,4.0,1.0,98.0,187.0,11.0,23467.0
133,18.0,13.0,13.0,7.0,10.0,13.0,13.0,14.0,6.0,6.0,3.0,6.0,4.0,3.0,4.0,2.0,112.0,203.0,10.0,81885.0
134,18.0,14.0,11.0,7.0,11.0,11.0,11.0,11.0,5.0,7.0,4.0,7.0,2.0,3.0,2.0,2.0,123.0,200.0,10.0,58064.0
135,18.0,10.0,12.0,7.0,12.0,13.0,13.0,10.0,8.0,6.0,1.0,9.0,2.0,3.0,7.0,2.0,124.0,193.0,10.0,61223.0
136,17.0,14.0,13.0,10.0,10.0,13.0,13.0,13.0,6.0,3.0,1.0,8.0,4.0,1.0,8.0,2.0,114.0,203.0,10.0,83423.0
137,20.0,14.0,14.0,14.0,14.0,13.0,10.0,7.0,9.0,4.0,7.0,7.0,4.0,3.0,3.0,2.0,101.0,171.0,11.0,89215.0
138,17.0,13.0,8.0,10.0,11.0,13.0,13.0,4.0,5.0,4.0,2.0,9.0,2.0,4.0,7.0,2.0,123.0,182.0,10.0,58434.0
139,18.0,13.0,12.0,9.0,13.0,12.0,13.0,9.0,6.0,5.0,3.0,6.0,3.0,4.0,5.0,2.0,115.0,199.0,10.0,65911.0
140,20.0,14.0,14.0,10.0,14.0,8.0,8.0,5.0,14.0,12.0,4.0,6.0,1.0,2.0,10.0,1.0,87.0,179.0,11.0,85741.0
141,18.0,11.0,12.0,10.0,10.0,11.0,12.0,10.0,7.0,5.0,3.0,8.0,4.0,2.0,4.0,2.0,103.0,196.0,10.0,55664.0
142,17.0,6.0,7.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,2.0,7.0,3.0,1.0,6.0,1.0,80.0,178.0,10.0,4950.0
143,20.0,11.0,13.0,11.0,14.0,10.0,8.0,2.0,14.0,13.0,11.0,6.0,3.0,4.0,8.0,2.0,91.0,184.0,10.0,89306.0
144,17.0,2.0,1.0,5.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,9.0,2.0,5.0,9.0,1.0,120.0,196.0,11.0,2323.0
145,17.0,8.0,11.0,8.0,11.0,10.0,12.0,10.0,2.0,4.0,2.0,9.0,2.0,3.0,9.0,2.0,114.0,203.0,11.0,39052.0
146,17.0,9.0,10.0,8.0,6.0,4.0,3.0,2.0,11.0,9.0,6.0,8.0,2.0,4.0,7.0,1.0,79.0,183.0,11.0,23750.0
147,20.0,11.0,14.0,14.0,14.0,12.0,7.0,6.0,14.0,6.0,9.0,7.0,3.0,3.0,3.0,2.0,91.0,184.0,11.0,88512.0
148,18.0,7.0,9.0,12.0,14.0,14.0,14.0,9.0,7.0,4.0,2.0,6.0,2.0,4.0,9.0,2.0,118.0,193.0,10.0,68481.0
149,18.0,12.0,10.0,11.0,8.0,5.0,9.0,9.0,6.0,4.0,6.0,6.0,3.0,3.0,9.0,1.0,118.0,195.0,11.0,33471.0
150,19.0,14.0,10.0,13.0,14.0,9.0,10.0,4.0,13.0,7.0,1.0,9.0,5.0,2.0,4.0,2.0,98.0,174.0,11.0,78651.0
151,25.0,12.0,11.0,12.0,12.0,6.0,6.0,5.0,15.0,13.0,9.0,7.0,4.0,3.0,4.0,4.0,80.0,186.0,11.0,80868.0
152,28.0,11.0,13.0,9.0,10.0,11.0,13.0,11.0,8.0,7.0,3.0,9.0,1.0,4.0,6.0,4.0,120.0,190.0,11.0,62776.0
153,18.0,9.0,10.0,11.0,10.0,10.0,13.0,10.0,8.0,10.0,5.0,9.0,2.0,2.0,3.0,2.0,113.0,200.0,11.0,50276.0
154,19.0,4.0,14.0,8.0,6.0,11.0,10.0,12.0,5.0,4.0,3.0,7.0,3.0,3.0,9.0,2.0,125.0,202.0,11.0,42594.0
155,19.0,9.0,10.0,13.0,12.0,8.0,8.0,7.0,12.0,10.0,10.0,7.0,2.0,5.0,6.0,1.0,77.0,182.0,9.0,59662.0
156,18.0,6.0,6.0,5.0,11.0,14.0,7.0,4.0,6.0,8.0,2.0,7.0,2.0,2.0,3.0,2.0,132.0,195.0,10.0,31669.0
157,20.0,13.0,12.0,13.0,14.0,12.0,13.0,7.0,10.0,11.0,5.0,10.0,1.0,4.0,8.0,2.0,102.0,189.0,11.0,99409.0
158,18.0,7.0,9.0,11.0,10.0,6.0,9.0,5.0,8.0,11.0,11.0,8.0,3.0,3.0,10.0,1.0,85.0,170.0,10.0,41444.0
159,22.0,13.0,14.0,16.0,13.0,11.0,4.0,4.0,13.0,9.0,7.0,11.0,3.0,5.0,4.0,2.0,73.0,181.0,11.0,108968.0
160,23.0,13.0,9.0,14.0,10.0,8.0,9.0,4.0,16.0,12.0,12.0,8.0,4.0,4.0,2.0,3.0,85.0,179.0,11.0,95599.0
161,19.0,9.0,14.0,11.0,12.0,11.0,12.0,5.0,8.0,14.0,4.0,9.0,3.0,4.0,8.0,2.0,91.0,178.0,11.0,76998.0
162,19.0,14.0,14.0,14.0,14.0,12.0,11.0,12.0,9.0,4.0,6.0,4.0,2.0,2.0,1.0,1.0,101.0,187.0,11.0,92761.0
163,19.0,13.0,11.0,14.0,14.0,14.0,14.0,8.0,8.0,6.0,5.0,8.0,3.0,3.0,5.0,2.0,115.0,191.0,11.0,93216.0
164,24.0,14.0,15.0,15.0,10.0,13.0,13.0,11.0,13.0,7.0,8.0,8.0,3.0,4.0,11.0,3.0,86.0,175.0,11.0,130468.0
165,24.0,14.0,16.0,9.0,15.0,13.0,10.0,9.0,14.0,7.0,7.0,7.0,4.0,2.0,6.0,3.0,85.0,174.0,11.0,126858.0
166,22.0,14.0,14.0,15.0,14.0,14.0,14.0,6.0,14.0,10.0,4.0,9.0,3.0,1.0,6.0,3.0,98.0,180.0,11.0,146843.0
